Model,Context Length,With Message,Concern Count,Accuracy,F1,Precision,Recall,Inference Time
gpt-4.1-2025-04-14,1024,No,1,0.73,0.8,0.78,0.84,0.8592468269409672
gpt-4.1-2025-04-14,1024,No,2,0.59,0.82,0.83,0.83,0.8918708165486654
gpt-4.1-2025-04-14,1024,No,3,0.37,0.78,0.8,0.77,0.9232313240630717
gpt-4.1-2025-04-14,1024,Yes,1,0.77,0.83,0.81,0.85,1.0276021419032928
gpt-4.1-2025-04-14,1024,Yes,2,0.7,0.87,0.87,0.88,0.9235251813695051
gpt-4.1-2025-04-14,1024,Yes,3,0.48,0.82,0.86,0.81,0.9810278596757334
gpt-4.1-2025-04-14,2048,No,1,0.76,0.83,0.81,0.87,0.791957882142836
gpt-4.1-2025-04-14,2048,No,2,0.67,0.85,0.85,0.87,0.9458090844361678
gpt-4.1-2025-04-14,2048,No,3,0.41,0.82,0.82,0.83,1.0390362045432948
gpt-4.1-2025-04-14,2048,Yes,1,0.77,0.83,0.81,0.85,1.1169937618317143
gpt-4.1-2025-04-14,2048,Yes,2,0.72,0.88,0.89,0.88,0.8647571888522826
gpt-4.1-2025-04-14,2048,Yes,3,0.49,0.84,0.85,0.85,0.9992785966849025
gpt-4.1-2025-04-14,4096,No,1,0.73,0.82,0.8,0.87,0.7356198564652474
gpt-4.1-2025-04-14,4096,No,2,0.62,0.84,0.83,0.87,0.8645980876425038
gpt-4.1-2025-04-14,4096,No,3,0.47,0.82,0.82,0.84,0.9677473593361771
gpt-4.1-2025-04-14,4096,Yes,1,0.77,0.83,0.81,0.85,0.8580505540294032
gpt-4.1-2025-04-14,4096,Yes,2,0.72,0.88,0.89,0.88,1.0537847297779028
gpt-4.1-2025-04-14,4096,Yes,3,0.49,0.85,0.84,0.86,0.8957199144966995
gpt-4.1-2025-04-14,8192,No,1,0.73,0.82,0.8,0.87,0.8880585239779565
gpt-4.1-2025-04-14,8192,No,2,0.62,0.84,0.83,0.87,0.8472968944604846
gpt-4.1-2025-04-14,8192,No,3,0.42,0.81,0.81,0.83,0.8801271311844452
gpt-4.1-2025-04-14,8192,Yes,1,0.74,0.83,0.81,0.87,0.8072304264191659
gpt-4.1-2025-04-14,8192,Yes,2,0.72,0.87,0.87,0.89,0.8749502465344857
gpt-4.1-2025-04-14,8192,Yes,3,0.47,0.84,0.84,0.85,0.9726302925544449
gpt-4.1-2025-04-14,12288,No,1,0.74,0.83,0.81,0.87,0.8555267741603236
gpt-4.1-2025-04-14,12288,No,2,0.62,0.85,0.84,0.87,0.913250093874724
gpt-4.1-2025-04-14,12288,No,3,0.41,0.81,0.8,0.82,1.0322182118138181
gpt-4.1-2025-04-14,12288,Yes,1,0.76,0.83,0.81,0.87,1.024428444523965
gpt-4.1-2025-04-14,12288,Yes,2,0.72,0.88,0.88,0.89,0.9583700601605402
gpt-4.1-2025-04-14,12288,Yes,3,0.44,0.84,0.84,0.85,0.9970444395572324
gpt-4.1-2025-04-14_ONE_SHOT,1024,No,1,0.74,0.8,0.78,0.82,0.9537489644942745
gpt-4.1-2025-04-14_ONE_SHOT,1024,No,2,0.54,0.79,0.81,0.8,1.0401811634284863
gpt-4.1-2025-04-14_ONE_SHOT,1024,No,3,0.35,0.76,0.79,0.75,1.0215071273755423
gpt-4.1-2025-04-14_ONE_SHOT,1024,Yes,1,0.79,0.83,0.82,0.85,1.1307901643937635
gpt-4.1-2025-04-14_ONE_SHOT,1024,Yes,2,0.67,0.85,0.86,0.86,1.0402283392090728
gpt-4.1-2025-04-14_ONE_SHOT,1024,Yes,3,0.43,0.8,0.84,0.78,1.1536687114570714
gpt-4.1-2025-04-14_ONE_SHOT,2048,No,1,0.77,0.83,0.81,0.85,1.0016020190331243
gpt-4.1-2025-04-14_ONE_SHOT,2048,No,2,0.61,0.82,0.82,0.83,1.0764208876568337
gpt-4.1-2025-04-14_ONE_SHOT,2048,No,3,0.39,0.79,0.79,0.8,1.136601976201504
gpt-4.1-2025-04-14_ONE_SHOT,2048,Yes,1,0.77,0.83,0.81,0.85,1.0470630738043016
gpt-4.1-2025-04-14_ONE_SHOT,2048,Yes,2,0.7,0.86,0.86,0.88,1.0588311112445334
gpt-4.1-2025-04-14_ONE_SHOT,2048,Yes,3,0.48,0.82,0.85,0.81,1.2182784563378444
gpt-4.1-2025-04-14_ONE_SHOT,4096,No,1,0.73,0.8,0.78,0.84,1.004474401473999
gpt-4.1-2025-04-14_ONE_SHOT,4096,No,2,0.57,0.81,0.82,0.82,1.0279688696930374
gpt-4.1-2025-04-14_ONE_SHOT,4096,No,3,0.43,0.8,0.81,0.81,1.082636452928374
gpt-4.1-2025-04-14_ONE_SHOT,4096,Yes,1,0.77,0.83,0.81,0.85,0.8375911597282656
gpt-4.1-2025-04-14_ONE_SHOT,4096,Yes,2,0.7,0.86,0.86,0.88,0.9947561250216719
gpt-4.1-2025-04-14_ONE_SHOT,4096,Yes,3,0.41,0.79,0.8,0.79,1.0836155656017834
gpt-4.1-2025-04-14_ONE_SHOT,8192,No,1,0.73,0.8,0.78,0.84,1.115379552687368
gpt-4.1-2025-04-14_ONE_SHOT,8192,No,2,0.61,0.83,0.82,0.85,1.131249821704367
gpt-4.1-2025-04-14_ONE_SHOT,8192,No,3,0.37,0.79,0.79,0.8,1.258854156808008
gpt-4.1-2025-04-14_ONE_SHOT,8192,Yes,1,0.74,0.81,0.79,0.84,0.9991165207278344
gpt-4.1-2025-04-14_ONE_SHOT,8192,Yes,2,0.7,0.86,0.87,0.88,1.052980308947356
gpt-4.1-2025-04-14_ONE_SHOT,8192,Yes,3,0.43,0.81,0.83,0.81,1.262103367455398
gpt-4.1-2025-04-14_ONE_SHOT,12288,No,1,0.76,0.82,0.81,0.85,0.9644291631637081
gpt-4.1-2025-04-14_ONE_SHOT,12288,No,2,0.57,0.81,0.82,0.83,1.008790866188381
gpt-4.1-2025-04-14_ONE_SHOT,12288,No,3,0.39,0.79,0.8,0.8,1.1120842076555084
gpt-4.1-2025-04-14_ONE_SHOT,12288,Yes,1,0.74,0.81,0.8,0.85,0.9797357897604665
gpt-4.1-2025-04-14_ONE_SHOT,12288,Yes,2,0.68,0.86,0.86,0.87,1.0687713968581047
gpt-4.1-2025-04-14_ONE_SHOT,12288,Yes,3,0.48,0.82,0.83,0.83,1.1109382864795154
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,1,0.76,0.8,0.79,0.82,0.977888907155683
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,2,0.61,0.8,0.8,0.81,1.1129318907640982
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,3,0.35,0.76,0.8,0.74,1.213984018639673
gpt-4.1-2025-04-14_TWO_SHOT,1024,Yes,1,0.76,0.8,0.79,0.82,1.0312538108518046
gpt-4.1-2025-04-14_TWO_SHOT,1024,Yes,2,0.61,0.82,0.83,0.82,1.0571300983428955
