set,split,concern_count,cross_concern_file_overlap,overlaps_reference_set,n_files,n_hunks,hunks_per_file,distinct_function_contexts,function_context_coverage,within_function_coediting,median_line_gap,total_changed_lines,set1_variant
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,5,2.5,4,1.0,1,66.0,245,full
synthetic,train,1.0,,False,1,24,24.0,0,0.0,0,45.0,63,full
synthetic,train,1.0,,False,6,6,1.0,6,1.0,0,,14,full
synthetic,train,1.0,,False,3,20,6.666666666666667,16,0.8,0,1198.0,119,full
synthetic,train,1.0,,False,2,3,1.5,2,1.0,1,759.0,80,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,19.0,6,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,7,13,1.8571428571428572,10,0.7692307692307693,0,349.0,174,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,6,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,80.0,58,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,2,full
synthetic,train,1.0,,False,1,3,3.0,1,1.0,1,9.5,6,full
synthetic,train,1.0,,False,2,3,1.5,2,0.6666666666666666,0,22.0,46,full
synthetic,train,1.0,,False,1,5,5.0,1,1.0,1,42.0,36,full
synthetic,train,1.0,,False,1,4,4.0,1,1.0,1,24.0,22,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,1,full
synthetic,train,1.0,,False,7,19,2.7142857142857144,10,0.8947368421052632,1,63.0,266,full
synthetic,train,1.0,,True,2,2,1.0,1,0.5,0,,89,full
synthetic,train,1.0,,False,4,9,2.25,9,1.0,0,49.0,67,full
synthetic,train,1.0,,False,4,5,1.25,2,0.4,0,81.0,1208,full
synthetic,train,1.0,,False,4,36,9.0,30,0.9166666666666666,1,16.5,1295,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,88.0,15,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,3,6,2.0,5,0.8333333333333334,0,37.0,75,full
synthetic,train,1.0,,False,2,2,1.0,1,0.5,0,,34,full
synthetic,train,1.0,,False,11,20,1.8181818181818181,7,0.7,1,26.0,397,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,22,full
synthetic,train,1.0,,False,2,2,1.0,1,0.5,0,,63,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,5,full
synthetic,train,1.0,,False,5,11,2.2,6,0.8181818181818182,1,16.5,59,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,9,full
synthetic,train,1.0,,False,2,2,1.0,0,0.0,0,,146,full
synthetic,train,1.0,,True,5,5,1.0,0,0.0,0,,733,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,14.0,10,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,6,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,142,full
synthetic,train,1.0,,False,7,15,2.142857142857143,12,0.8666666666666667,1,12.5,77,full
synthetic,train,1.0,,False,1,3,3.0,1,1.0,1,22.5,12,full
