concern_count,model,hl_ci,hl_mean,ci_low,ci_high,n_commits,n_rows
1,GPT-4.1,"0.10 [0.07, 0.13]",0.0993,0.0705,0.1282,70,210
2,GPT-4.1,"0.16 [0.12, 0.20]",0.1605,0.1227,0.1983,70,210
3,GPT-4.1,"0.20 [0.16, 0.25]",0.2041,0.1614,0.2468,70,210
4,GPT-4.1,"0.21 [0.17, 0.25]",0.2095,0.1705,0.2485,70,210
5,GPT-4.1,"0.14 [0.11, 0.17]",0.1395,0.1086,0.1703,70,210
All,GPT-4.1,"0.16 [0.15, 0.18]",0.1626,0.1459,0.1793,350,1050
1,Qwen,"0.09 [0.06, 0.13]",0.0918,0.0572,0.1265,70,210
2,Qwen,"0.18 [0.13, 0.23]",0.1837,0.1336,0.2337,70,210
3,Qwen,"0.26 [0.20, 0.31]",0.2551,0.2045,0.3057,70,210
4,Qwen,"0.24 [0.20, 0.28]",0.2429,0.2041,0.2816,70,210
5,Qwen,"0.16 [0.13, 0.19]",0.1633,0.1335,0.193,70,210
All,Qwen,"0.19 [0.17, 0.21]",0.1873,0.1678,0.2069,350,1050
1,QwenFT,"0.04 [0.02, 0.06]",0.0408,0.0172,0.0644,70,210
2,QwenFT,"0.12 [0.08, 0.16]",0.1222,0.082,0.1623,69,207
3,QwenFT,"0.14 [0.10, 0.18]",0.1388,0.0997,0.1778,70,210
4,QwenFT,"0.14 [0.10, 0.18]",0.1429,0.101,0.1847,70,210
5,QwenFT,"0.06 [0.03, 0.09]",0.0621,0.0347,0.0895,69,207
All,QwenFT,"0.10 [0.09, 0.12]",0.1014,0.0851,0.1177,348,1044
